state_name,crop_name,apy_item_interval_start,temperature_recorded_date,state_temperature_max_val,state_temperature_min_val,state_rainfall_val,yield,FRL,Live Cap FRL,Level,Current Live Storage
Andhra Pradesh,potato,2012,02-04-2012,38.95,20.17,0.04,15.31692,337.152584,0.198465368,180.09625,0.373456922
Andhra Pradesh,potato,2012,03-04-2012,39.04,20.54,0,15.31692,337.152584,0.198465368,180.06125,0.370300226
Andhra Pradesh,potato,2012,04-04-2012,39.74,20.26,0,15.31692,337.152584,0.198465368,180.015,0.365789978
Andhra Pradesh,potato,2012,05-04-2012,39.76,20.8,0,15.31692,337.152584,0.198465368,179.99625,0.365367577
Andhra Pradesh,potato,2012,06-04-2012,38.96,21.48,0.32,15.31692,337.152584,0.198465368,179.9725,0.364435597
Andhra Pradesh,potato,2012,07-04-2012,39.62,21.61,0,15.31692,337.152584,0.198465368,179.9325,0.361139235
Andhra Pradesh,potato,2012,08-04-2012,39.41,21.25,1.29,15.31692,337.152584,0.198465368,179.91,0.360794569
Andhra Pradesh,potato,2012,09-04-2012,40.03,21.82,0,15.31692,337.152584,0.198465368,179.86875,0.358098431
Andhra Pradesh,potato,2012,10-04-2012,39.71,21.96,0,15.31692,337.152584,0.198465368,179.84375,0.356588109
Andhra Pradesh,potato,2012,11-04-2012,39.5,21.86,0,15.31692,337.152584,0.198465368,179.82,0.355227564
Andhra Pradesh,potato,2012,12-04-2012,37.72,20.81,0.99,15.31692,337.152584,0.198465368,179.79375,0.354188926
Andhra Pradesh,potato,2012,13-04-2012,38.03,19.08,1.46,15.31692,337.152584,0.198465368,179.77375,0.35333192
Andhra Pradesh,potato,2012,14-04-2012,39.16,21.72,0.78,15.31692,337.152584,0.198465368,179.78125,0.351062415
Andhra Pradesh,potato,2012,15-04-2012,39.9,21.91,0,15.31692,337.152584,0.198465368,179.7575,0.350090633
Andhra Pradesh,potato,2012,16-04-2012,40.37,22.08,0,15.31692,337.152584,0.198465368,179.69,0.347590485
Andhra Pradesh,potato,2012,17-04-2012,40.73,22.59,0.03,15.31692,337.152584,0.198465368,179.6675,0.346615769
Andhra Pradesh,potato,2012,18-04-2012,40.16,22.7,0,15.31692,337.152584,0.198465368,179.63625,0.345402143
Andhra Pradesh,potato,2012,19-04-2012,39.07,19.56,2.21,15.31692,337.152584,0.198465368,179.615,0.344614321
Andhra Pradesh,potato,2012,20-04-2012,40.21,21.68,0,15.31692,337.152584,0.198465368,179.5925,0.343731908
Andhra Pradesh,potato,2012,21-04-2012,40.44,22.36,0.24,15.31692,337.152584,0.198465368,179.57375,0.342930125
Andhra Pradesh,potato,2012,22-04-2012,40.49,22.31,0,15.31692,337.152584,0.198465368,179.54625,0.341869816
Andhra Pradesh,potato,2012,23-04-2012,39.09,22.89,0.12,15.31692,337.152584,0.198465368,179.5225,0.340345942
Andhra Pradesh,potato,2012,24-04-2012,39.06,21.27,0.31,15.31692,337.152584,0.198465368,179.505,0.339570818
Andhra Pradesh,potato,2012,25-04-2012,39.09,22.34,0,15.31692,337.152584,0.198465368,179.4775,0.338378219
